Trial,GroupSize,Time
1,11,5
1,11,6
1,11,7
1,11,8
1,11,8
1,11,9
1,11,9
1,11,10
1,11,10
1,11,11
1,11,20
2,3,128
2,3,130
2,3,130
3,6,67
3,6,67
3,6,68
3,6,68
3,6,70
3,6,71
4,1,300
6,2,253
6,2,255
7,21,60
7,21,63
7,21,67
7,21,68
7,21,68
7,21,68
7,21,68
7,21,69
7,21,70
7,21,70
7,21,70
7,21,70
7,21,70
7,21,70
7,21,71
7,21,71
7,21,72
7,21,72
7,21,72
7,21,75
7,21,79
8,8,4
8,8,9
8,8,10
8,8,13
8,8,13
8,8,14
8,8,14
8,8,14
9,1,241
10,4,41
10,4,42
10,4,43
10,4,44
11,9,25
11,9,27
11,9,28
11,9,28
11,9,30
11,9,31
11,9,32
11,9,33
11,9,243
12,6,74
12,6,75
12,6,76
12,6,76
12,6,77
12,6,79
13,1,214
14,24,86
14,24,90
14,24,91
14,24,103
14,24,113
14,24,120
14,24,121
14,24,122
14,24,122
14,24,124
14,24,125
14,24,125
14,24,126
14,24,132
14,24,164
14,24,165
14,24,168
14,24,170
14,24,174
14,24,198
14,24,222
14,24,226
14,24,227
14,24,232
14,24,300
15,2,31
15,2,34
17,8,14
17,8,14
17,8,15
17,8,16
17,8,16
17,8,16
17,8,17
17,8,18
18,3,261
18,3,300
18,3,300
20,12,64
20,12,81
20,12,82
20,12,83
20,12,84
20,12,157
20,12,157
20,12,162
20,12,183
20,12,186
20,12,187
20,12,187
21,7,35
21,7,36
21,7,37
21,7,39
21,7,93
21,7,94
21,7,94
22,5,67
22,5,75
22,5,256
22,5,276
22,5,276
23,18,19
23,18,20
23,18,24
23,18,24
23,18,28
23,18,29
23,18,30
23,18,30
23,18,30
23,18,31
23,18,31
23,18,32
23,18,33
23,18,36
23,18,37
23,18,37
23,18,87
23,18,87
24,1,300
25,3,178
25,3,179
25,3,280
26,2,242
26,2,245
27,13,23
27,13,29
27,13,30
27,13,106
27,13,117
27,13,130
27,13,161
27,13,272
27,13,273
27,13,273
27,13,275
27,13,275
27,13,277
28,8,54
28,8,54
28,8,57
28,8,58
28,8,60
28,8,61
28,8,63
28,8,64
29,18,22
29,18,24
29,18,24
29,18,24
29,18,25
29,18,25
29,18,25
29,18,27
29,18,29
29,18,31
29,18,33
29,18,34
29,18,34
29,18,35
29,18,37
29,18,127
29,18,128
29,18,128
30,5,43
30,5,148
30,5,152
30,5,159
30,5,215
31,17,21
31,17,23
31,17,23
31,17,24
31,17,25
31,17,26
31,17,27
31,17,27
31,17,28
31,17,29
31,17,30
31,17,31
31,17,33
31,17,34
31,17,35
31,17,38
31,17,45
32,8,49
32,8,49
32,8,51
32,8,51
32,8,52
32,8,52
32,8,53
32,8,53
33,13,11
33,13,24
33,13,26
33,13,26
33,13,26
33,13,27
33,13,27
33,13,27
33,13,29
33,13,32
33,13,32
33,13,66
33,13,66
34,2,73
34,2,77
35,26,64
35,26,70
35,26,71
35,26,75
35,26,75
35,26,77
35,26,78
35,26,81
35,26,82
35,26,83
35,26,85
35,26,86
35,26,87
35,26,87
35,26,88
35,26,89
35,26,90
35,26,90
35,26,92
35,26,211
35,26,211
35,26,214
35,26,216
35,26,217
35,26,219
35,26,280
36,5,256
36,5,261
36,5,263
36,5,266
36,5,268
37,4,252
37,4,252
37,4,253
37,4,254
38,15,43
38,15,45
38,15,45
38,15,46
38,15,47
38,15,47
38,15,48
38,15,48
38,15,49
38,15,50
38,15,50
38,15,50
38,15,111
38,15,114
38,15,121
39,20,22
39,20,23
39,20,32
39,20,34
39,20,34
39,20,35
39,20,38
39,20,40
39,20,44
39,20,48
39,20,48
39,20,50
39,20,50
39,20,51
39,20,52
39,20,52
39,20,54
39,20,57
39,20,58
39,20,58
39,20,62
39,20,63
40,1,41
41,1,21
42,10,24
42,10,32
42,10,34
42,10,37
42,10,39
42,10,40
42,10,41
42,10,42
42,10,46
42,10,145
43,5,49
43,5,50
43,5,53
43,5,56
43,5,57
44,1,295
45,29,72
45,29,74
45,29,75
45,29,76
45,29,76
45,29,78
45,29,78
45,29,81
45,29,141
45,29,142
45,29,142
45,29,143
45,29,143
45,29,143
45,29,144
45,29,145
45,29,145
45,29,145
45,29,147
45,29,148
45,29,148
45,29,148
45,29,149
45,29,150
45,29,196
45,29,196
45,29,267
45,29,267
45,29,268
46,6,111
46,6,113
46,6,113
46,6,113
46,6,117
46,6,121
47,22,54
47,22,54
47,22,57
47,22,58
47,22,58
47,22,59
47,22,60
47,22,61
47,22,61
47,22,61
47,22,62
47,22,62
47,22,63
47,22,63
47,22,65
47,22,67
47,22,104
47,22,126
47,22,131
47,22,242
47,22,243
47,22,243
48,3,250
48,3,260
48,3,260
49,28,61
49,28,61
49,28,65
49,28,73
49,28,75
49,28,79
49,28,82
49,28,83
49,28,83
49,28,86
49,28,87
49,28,88
49,28,88
49,28,89
49,28,90
49,28,92
49,28,92
49,28,96
49,28,97
49,28,98
49,28,99
49,28,99
49,28,99
49,28,102
49,28,104
49,28,106
49,28,256
50,9,31
50,9,32
50,9,36
50,9,37
50,9,109
50,9,114
50,9,248
50,9,292
50,9,292
51,9,44
51,9,48
51,9,52
51,9,92
51,9,108
51,9,108
51,9,198
51,9,198
51,9,198
